ID,Season,Team1Seed,Team2Seed,SeedDiff,IDTeams_c_score,NumOTsum_c_score,NumOTmean_c_score,NumOTmedian_c_score,NumOTmax_c_score,NumOTmin_c_score,NumOTstd_c_score,NumOTskew_c_score,NumOTnunique_c_score,WFGMsum_c_score,WFGMmean_c_score,WFGMmedian_c_score,WFGMmax_c_score,WFGMmin_c_score,WFGMstd_c_score,WFGMskew_c_score,WFGMnunique_c_score,WFGAsum_c_score,WFGAmean_c_score,WFGAmedian_c_score,WFGAmax_c_score,WFGAmin_c_score,WFGAstd_c_score,WFGAskew_c_score,WFGAnunique_c_score,WFGM3sum_c_score,WFGM3mean_c_score,WFGM3median_c_score,WFGM3max_c_score,WFGM3min_c_score,WFGM3std_c_score,WFGM3skew_c_score,WFGM3nunique_c_score,WFGA3sum_c_score,WFGA3mean_c_score,WFGA3median_c_score,WFGA3max_c_score,WFGA3min_c_score,WFGA3std_c_score,WFGA3skew_c_score,WFGA3nunique_c_score,WFTMsum_c_score,WFTMmean_c_score,WFTMmedian_c_score,WFTMmax_c_score,WFTMmin_c_score,WFTMstd_c_score,WFTMskew_c_score,WFTMnunique_c_score,WFTAsum_c_score,WFTAmean_c_score,WFTAmedian_c_score,WFTAmax_c_score,WFTAmin_c_score,WFTAstd_c_score,WFTAskew_c_score,WFTAnunique_c_score,WORsum_c_score,WORmean_c_score,WORmedian_c_score,WORmax_c_score,WORmin_c_score,WORstd_c_score,WORskew_c_score,WORnunique_c_score,WDRsum_c_score,WDRmean_c_score,WDRmedian_c_score,WDRmax_c_score,WDRmin_c_score,WDRstd_c_score,WDRskew_c_score,WDRnunique_c_score,WAstsum_c_score,WAstmean_c_score,WAstmedian_c_score,WAstmax_c_score,WAstmin_c_score,WAststd_c_score,WAstskew_c_score,WAstnunique_c_score,WTOsum_c_score,WTOmean_c_score,WTOmedian_c_score,WTOmax_c_score,WTOmin_c_score,WTOstd_c_score,WTOskew_c_score,WTOnunique_c_score,WStlsum_c_score,WStlmean_c_score,WStlmedian_c_score,WStlmax_c_score,WStlmin_c_score,WStlstd_c_score,WStlskew_c_score,WStlnunique_c_score,WBlksum_c_score,WBlkmean_c_score,WBlkmedian_c_score,WBlkmax_c_score,WBlkmin_c_score,WBlkstd_c_score,WBlkskew_c_score,WBlknunique_c_score,WPFsum_c_score,WPFmean_c_score,WPFmedian_c_score,WPFmax_c_score,WPFmin_c_score,WPFstd_c_score,WPFskew_c_score,WPFnunique_c_score,LFGMsum_c_score,LFGMmean_c_score,LFGMmedian_c_score,LFGMmax_c_score,LFGMmin_c_score,LFGMstd_c_score,LFGMskew_c_score,LFGMnunique_c_score,LFGAsum_c_score,LFGAmean_c_score,LFGAmedian_c_score,LFGAmax_c_score,LFGAmin_c_score,LFGAstd_c_score,LFGAskew_c_score,LFGAnunique_c_score,LFGM3sum_c_score,LFGM3mean_c_score,LFGM3median_c_score,LFGM3max_c_score,LFGM3min_c_score,LFGM3std_c_score,LFGM3skew_c_score,LFGM3nunique_c_score,LFGA3sum_c_score,LFGA3mean_c_score,LFGA3median_c_score,LFGA3max_c_score,LFGA3min_c_score,LFGA3std_c_score,LFGA3skew_c_score,LFGA3nunique_c_score,LFTMsum_c_score,LFTMmean_c_score,LFTMmedian_c_score,LFTMmax_c_score,LFTMmin_c_score,LFTMstd_c_score,LFTMskew_c_score,LFTMnunique_c_score,LFTAsum_c_score,LFTAmean_c_score,LFTAmedian_c_score,LFTAmax_c_score,LFTAmin_c_score,LFTAstd_c_score,LFTAskew_c_score,LFTAnunique_c_score,LORsum_c_score,LORmean_c_score,LORmedian_c_score,LORmax_c_score,LORmin_c_score,LORstd_c_score,LORskew_c_score,LORnunique_c_score,LDRsum_c_score,LDRmean_c_score,LDRmedian_c_score,LDRmax_c_score,LDRmin_c_score,LDRstd_c_score,LDRskew_c_score,LDRnunique_c_score,LAstsum_c_score,LAstmean_c_score,LAstmedian_c_score,LAstmax_c_score,LAstmin_c_score,LAststd_c_score,LAstskew_c_score,LAstnunique_c_score,LTOsum_c_score,LTOmean_c_score,LTOmedian_c_score,LTOmax_c_score,LTOmin_c_score,LTOstd_c_score,LTOskew_c_score,LTOnunique_c_score,LStlsum_c_score,LStlmean_c_score,LStlmedian_c_score,LStlmax_c_score,LStlmin_c_score,LStlstd_c_score,LStlskew_c_score,LStlnunique_c_score,LBlksum_c_score,LBlkmean_c_score,LBlkmedian_c_score,LBlkmax_c_score,LBlkmin_c_score,LBlkstd_c_score,LBlkskew_c_score,LBlknunique_c_score,LPFsum_c_score,LPFmean_c_score,LPFmedian_c_score,LPFmax_c_score,LPFmin_c_score,LPFstd_c_score,LPFskew_c_score,LPFnunique_c_score,Pred
2003_1411_1421,2003,16.0,16.0,0.0,1411_1421,1,1.0,1.0,1,1,-1.0,-1.0,1,32,32.0,32.0,32,32,-1.0,-1.0,1,69,69.0,69.0,69,69,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,29,29.0,29.0,29,29,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,26,26.0,26.0,26,26,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,30,30.0,30.0,30,30,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,3,3.0,3.0,3,3,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,29,29.0,29.0,29,29,-1.0,-1.0,1,67,67.0,67.0,67,67,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,31,31.0,31.0,31,31,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,31,31.0,31.0,31,31,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,28,28.0,28.0,28,28,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,0,0.0,0.0,0,0,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,0.0
2003_1112_1436,2003,1.0,16.0,-15.0,1112_1436,0,0.0,0.0,0,0,-1.0,-1.0,1,31,31.0,31.0,31,31,-1.0,-1.0,1,66,66.0,66.0,66,66,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,23,23.0,23.0,23,23,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,36,36.0,36.0,36,36,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,64,64.0,64.0,64,64,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,26,26.0,26.0,26,26,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,3,3.0,3.0,3,3,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,1.0
2003_1113_1272,2003,10.0,7.0,3.0,1113_1272,0,0.0,0.0,0,0,-1.0,-1.0,1,31,31.0,31.0,31,31,-1.0,-1.0,1,59,59.0,59.0,59,59,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,27,27.0,27.0,27,27,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,9,9.0,9.0,9,9,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,19,19.0,19.0,19,19,-1.0,-1.0,1,25,25.0,25.0,25,25,-1.0,-1.0,1,69,69.0,69.0,69,69,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,28,28.0,28.0,28,28,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,21,21.0,21.0,21,21,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,2,2.0,2.0,2,2,-1.0,-1.0,1,5,5.0,5.0,5,5,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,1.0
2003_1141_1166,2003,11.0,6.0,5.0,1141_1166,0,0.0,0.0,0,0,-1.0,-1.0,1,29,29.0,29.0,29,29,-1.0,-1.0,1,53,53.0,53.0,53,53,-1.0,-1.0,1,3,3.0,3.0,3,3,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,25,25.0,25.0,25,25,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,18,18.0,18.0,18,18,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,1,1.0,1.0,1,1,-1.0,-1.0,1,19,19.0,19.0,19,19,-1.0,-1.0,1,27,27.0,27.0,27,27,-1.0,-1.0,1,60,60.0,60.0,60,60,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,21,21.0,21.0,21,21,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,21,21.0,21.0,21,21,-1.0,-1.0,1,1.0
2003_1143_1301,2003,8.0,9.0,-1.0,1143_1301,1,0.5,0.5,1,0,0.7071067811865476,-1.0,2,48,24.0,24.0,27,21,4.242640687119285,-1.0,2,106,53.0,53.0,64,42,15.556349186104045,-1.0,2,12,6.0,6.0,7,5,1.4142135623730951,-1.0,2,36,18.0,18.0,20,16,2.8284271247461903,-1.0,2,26,13.0,13.0,15,11,2.8284271247461903,-1.0,2,40,20.0,20.0,23,17,4.242640687119285,-1.0,2,25,12.5,12.5,18,7,7.7781745930520225,-1.0,2,38,19.0,19.0,20,18,1.4142135623730951,-1.0,2,27,13.5,13.5,17,10,4.949747468305833,-1.0,2,24,12.0,12.0,13,11,1.4142135623730951,-1.0,2,13,6.5,6.5,8,5,2.1213203435596424,-1.0,2,3,1.5,1.5,2,1,0.7071067811865476,-1.0,2,29,14.5,14.5,15,14,0.7071067811865476,-1.0,2,45,22.5,22.5,25,20,3.5355339059327378,-1.0,2,103,51.5,51.5,56,47,6.363961030678928,-1.0,2,14,7.0,7.0,9,5,2.8284271247461903,-1.0,2,37,18.5,18.5,21,16,3.5355339059327378,-1.0,2,22,11.0,11.0,15,7,5.656854249492381,-1.0,2,30,15.0,15.0,20,10,7.0710678118654755,-1.0,2,19,9.5,9.5,10,9,0.7071067811865476,-1.0,2,43,21.5,21.5,26,17,6.363961030678928,-1.0,2,25,12.5,12.5,16,9,4.949747468305833,-1.0,2,27,13.5,13.5,14,13,0.7071067811865476,-1.0,2,12,6.0,6.0,7,5,1.4142135623730951,-1.0,2,9,4.5,4.5,8,1,4.949747468305833,-1.0,2,37,18.5,18.5,19,18,0.7071067811865476,-1.0,2,1.0
2003_1140_1163,2003,12.0,5.0,7.0,1140_1163,0,0.0,0.0,0,0,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,52,52.0,52.0,52,52,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,27,27.0,27.0,27,27,-1.0,-1.0,1,12,12.0,12.0,12,12,-1.0,-1.0,1,29,29.0,29.0,29,29,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,14,14.0,14.0,14,14,-1.0,-1.0,1,3,3.0,3.0,3,3,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,16,16.0,16.0,16,16,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,64,64.0,64.0,64,64,-1.0,-1.0,1,2,2.0,2.0,2,2,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,26,26.0,26.0,26,26,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,22,22.0,22.0,22,22,-1.0,-1.0,1,0.0
2003_1161_1181,2003,14.0,3.0,11.0,1161_1181,0,0.0,0.0,0,0,0.0,0.0,1,87,29.0,31.0,37,19,9.16515138991168,-0.9352195295828245,3,178,59.333333333333336,55.0,69,54,8.386497083606084,1.7043872692093103,3,15,5.0,4.0,7,4,1.7320508075688772,1.7320508075688774,2,56,18.666666666666668,21.0,22,13,4.932882862316248,-1.6523167403329917,3,54,18.0,18.0,25,11,7.0,0.0,3,78,26.0,29.0,31,18,7.0,-1.5743440233236154,3,31,10.333333333333334,9.0,13,9,2.309401076758503,1.732050807568875,2,86,28.666666666666668,27.0,34,25,4.725815626252609,1.3896361387064902,3,39,13.0,14.0,21,4,8.54400374531753,-0.51947029714447,3,34,11.333333333333334,9.0,16,9,4.041451884327381,1.7320508075688765,2,30,10.0,10.0,12,8,2.0,0.0,3,23,7.666666666666667,8.0,9,6,1.5275252316519465,-0.9352195295828264,3,57,19.0,19.0,23,15,4.0,0.0,3,60,20.0,18.0,24,18,3.4641016151377544,1.7320508075688774,2,168,56.0,55.0,59,54,2.6457513110645907,1.457862967321305,3,12,4.0,4.0,5,3,1.0,0.0,3,43,14.333333333333334,11.0,21,11,5.773502691896258,1.7320508075688765,2,44,14.666666666666666,14.0,18,12,3.0550504633038935,0.9352195295828264,3,61,20.333333333333332,22.0,22,17,2.886751345948129,-1.7320508075688732,2,32,10.666666666666666,11.0,13,8,2.5166114784235836,-0.585582726281386,3,71,23.666666666666668,24.0,26,21,2.516611478423583,-0.5855827262813922,3,24,8.0,8.0,11,5,3.0,0.0,3,52,17.333333333333332,18.0,19,15,2.081665999466133,-1.2933427807333908,3,13,4.333333333333333,5.0,5,3,1.1547005383792517,-1.732050807568875,2,5,1.6666666666666667,1.0,4,0,2.0816659994661326,1.2933427807333955,3,56,18.666666666666668,19.0,20,17,1.5275252316519465,-0.9352195295828315,3,0.0
2003_1153_1211,2003,8.0,9.0,-1.0,1153_1211,1,0.5,0.5,1,0,0.7071067811865476,-1.0,2,40,20.0,20.0,20,20,0.0,-1.0,1,94,47.0,47.0,47,47,0.0,-1.0,1,11,5.5,5.5,6,5,0.7071067811865476,-1.0,2,29,14.5,14.5,15,14,0.7071067811865476,-1.0,2,44,22.0,22.0,28,16,8.48528137423857,-1.0,2,60,30.0,30.0,37,23,9.899494936611665,-1.0,2,13,6.5,6.5,8,5,2.1213203435596424,-1.0,2,63,31.5,31.5,35,28,4.949747468305833,-1.0,2,21,10.5,10.5,12,9,2.1213203435596424,-1.0,2,25,12.5,12.5,13,12,0.7071067811865476,-1.0,2,5,2.5,2.5,3,2,0.7071067811865476,-1.0,2,6,3.0,3.0,4,2,1.4142135623730951,-1.0,2,31,15.5,15.5,16,15,0.7071067811865476,-1.0,2,49,24.5,24.5,26,23,2.1213203435596424,-1.0,2,131,65.5,65.5,66,65,0.7071067811865476,-1.0,2,18,9.0,9.0,10,8,1.4142135623730951,-1.0,2,58,29.0,29.0,31,27,2.8284271247461903,-1.0,2,12,6.0,6.0,7,5,1.4142135623730951,-1.0,2,21,10.5,10.5,11,10,0.7071067811865476,-1.0,2,22,11.0,11.0,13,9,2.8284271247461903,-1.0,2,48,24.0,24.0,26,22,2.8284271247461903,-1.0,2,24,12.0,12.0,13,11,1.4142135623730951,-1.0,2,16,8.0,8.0,10,6,2.8284271247461903,-1.0,2,12,6.0,6.0,7,5,1.4142135623730951,-1.0,2,6,3.0,3.0,6,0,4.242640687119285,-1.0,2,47,23.5,23.5,24,23,0.7071067811865476,-1.0,2,0.0
2003_1228_1443,2003,4.0,13.0,-9.0,1228_1443,0,0.0,0.0,0,0,0.0,-1.0,1,51,25.5,25.5,27,24,2.1213203435596424,-1.0,2,112,56.0,56.0,56,56,0.0,-1.0,1,14,7.0,7.0,9,5,2.8284271247461903,-1.0,2,33,16.5,16.5,19,14,3.5355339059327378,-1.0,2,25,12.5,12.5,13,12,0.7071067811865476,-1.0,2,36,18.0,18.0,22,14,5.656854249492381,-1.0,2,24,12.0,12.0,15,9,4.242640687119285,-1.0,2,51,25.5,25.5,28,23,3.5355339059327378,-1.0,2,28,14.0,14.0,15,13,1.4142135623730951,-1.0,2,29,14.5,14.5,15,14,0.7071067811865476,-1.0,2,19,9.5,9.5,11,8,2.1213203435596424,-1.0,2,8,4.0,4.0,4,4,0.0,-1.0,1,26,13.0,13.0,14,12,1.4142135623730951,-1.0,2,53,26.5,26.5,31,22,6.363961030678928,-1.0,2,121,60.5,60.5,63,58,3.5355339059327378,-1.0,2,13,6.5,6.5,8,5,2.1213203435596424,-1.0,2,42,21.0,21.0,24,18,4.242640687119285,-1.0,2,13,6.5,6.5,8,5,2.1213203435596424,-1.0,2,20,10.0,10.0,13,7,4.242640687119285,-1.0,2,22,11.0,11.0,17,5,8.48528137423857,-1.0,2,42,21.0,21.0,24,18,4.242640687119285,-1.0,2,24,12.0,12.0,14,10,2.8284271247461903,-1.0,2,26,13.0,13.0,14,12,1.4142135623730951,-1.0,2,15,7.5,7.5,9,6,2.1213203435596424,-1.0,2,8,4.0,4.0,5,3,1.4142135623730951,-1.0,2,40,20.0,20.0,24,16,5.656854249492381,-1.0,2,1.0
2003_1242_1429,2003,2.0,15.0,-13.0,1242_1429,0,0.0,0.0,0,0,-1.0,-1.0,1,28,28.0,28.0,28,28,-1.0,-1.0,1,51,51.0,51.0,51,51,-1.0,-1.0,1,2,2.0,2.0,2,2,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,7,7.0,7.0,7,7,-1.0,-1.0,1,20,20.0,20.0,20,20,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,11,11.0,11.0,11,11,-1.0,-1.0,1,8,8.0,8.0,8,8,-1.0,-1.0,1,4,4.0,4.0,4,4,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,23,23.0,23.0,23,23,-1.0,-1.0,1,56,56.0,56.0,56,56,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,17,17.0,17.0,17,17,-1.0,-1.0,1,9,9.0,9.0,9,9,-1.0,-1.0,1,10,10.0,10.0,10,10,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,19,19.0,19.0,19,19,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,13,13.0,13.0,13,13,-1.0,-1.0,1,6,6.0,6.0,6,6,-1.0,-1.0,1,1,1.0,1.0,1,1,-1.0,-1.0,1,15,15.0,15.0,15,15,-1.0,-1.0,1,1.0
